"record_id","artist","title","date","medium","discipline","dimensions","funding_source","location","street","city","state","zipcode","lat","lng","description","image_url","detail_url","date_modified"
"774","Sao Ying Xiong","Celestial Star","1984","Cotton fabric","fiber","overall: 36 "" x 36 ""","Percent for Art - Civic Auditorium","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","This piece, made by a Hmong master stitcher, uses traditional Hmong colors and patterns that have be passed down from on generation to another. The Hmong are an ethnic group from the Lao mountains of Southeast Asia.  Many of the Hmong have been displaced from their homelands, and have found refuge in communities within the United States. Portland is pleased to be one on those communities.

The process of settling into a new culture has influenced Hmong textiles. Consumer demand has altered some of the designs and color patterns of their work, although records suggest that this piece holds to a more historical tradition.","http://data.racc.org/pa_inventory/0631/0631thumb.jpg","http://racc.org/public-art/search/?recid=774.161","2012-02-28 00:00:00"

"775","Ken Butler","Canoe Paddle","1984","Wood","sculpture","68 "" x 34 ""","Percent for Art - Civic Auditorium","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512610100000003","-122.67846470000001","Ken Butler is a musician as well as a sculptor.  Canoe Paddle is a functional instrument that Butler describes as a ""hybrid.""

The artist used an archer's bow for the strumming bow, which doubles as a stand.  Base guitar strings were then attached to the paddle, and electronic pick-ups installed to allow the piece to be plugged into an amplifier and played as an electronic instrument.

Butler says he chose a canoe paddle for the body of the guitar because: ""It is relationally, in size and shape, an almost perfect match to the guitar.  A tuning fork even fits perfectly in the hand grip.""","http://data.racc.org/pa_inventory/0633/0633thumb.jpg","http://racc.org/public-art/search/?recid=775.187","2012-02-28 00:00:00"

"776","Frank Elliott","Love Rug","20th century","Oil on canvas","painting","73 "" x 73 ""","Gift/Donation from Helen Libonati & Belle Canon","Keller Auditorium","222 SW Clay St.","Portland","OR","97201","45.512613700000003","-122.67845819999999","","http://data.racc.org/pa_inventory/0634/0634thumb.jpg","http://racc.org/public-art/search/?recid=776.148","2010-12-29 00:00:00"

"777","Isaka Shamsud-Din","Bilalian Odyssey","1983","Oil on Masonite","painting","8' x 16'","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Oregon Convention Center","777 NE ML King Blvd.","Portland","OR","97232","45.528379000000001","-122.663138","Isaac Shamsud-Din's intent for his mural, ""Bilalian Odyssey,"" is to educate, inspire, and delight, through the presentation of important, but little known figures in the history of Arfican Americans in the West from 1805 to the late 1920s. The mural is a culmination of nearly twenty years of historical research and constitutes a powerful tribute to the generations of courageous people who rose from slavery, endured the hardships of the westward journey, and contributed importantly to the settling of the West. The word ""Bilalian,"" used in the title, is synonymous for ""African American"" and has connotations of courage and strong faith associated with Bilal, the first minister of Islam. The word Odyssey, derived from Homer's poem, suggests virtue and perseverance on an epic scale.

As an African American youth growing up in Portland in the '50s and as an art student at Portland State University in the early '60s, Isaac Shamsud-Din had been frustrated by the lack of information available to him about his cultural heritage. Following his experiences in 1965 as a civil rights activist in Stuttgart, Arkansas, he determined to redress the situation by devoting his life and his art to the preservation and promotion of African American culture. Shamsud-Din is a recognized cultural leader and one of the leading artists in the Northwest.","http://data.racc.org/pa_inventory/0635/0635thumb.jpg","http://racc.org/public-art/search/?recid=777.150","2011-08-25 00:00:00"

"778","Bonnie Bronson","Untitled","1983","Enameled steel","sculpture","each: 3' 8 "" x 20'","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Multnomah County Justice Center","1120 SW 3rd Ave.","Portland","OR","97204","45.515248999999997","-122.677138","This sculpture was created by Portland artist Bonnie Bronson. Bronson was known for her geometric two dimensional steel and enameled collages she referred to as ""modulars."" She was the recipient of an Art Advocates Project grant, which she used to develop an industrial-scale enameling process that can be seen in her work. Bronson was married to Porltand sculptor Lee Kelly.","http://data.racc.org/pa_inventory/0636/0636thumb.jpg","http://racc.org/public-art/search/?recid=778.171","2011-08-25 00:00:00"

"779","Alden Mason","Portland Rose","1983","Acrylic on canvas","painting","","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Multnomah County Justice Center","1120 SW 3rd Ave.","Portland","OR","97204","45.515248999999997","-122.677138","This work was created by Alden Mason, a prolific, contemporary Northwest Master. Born in Everett, Washington in 1919, Mason earned his MFA from the University of Washington in 1947. He taught painting at the University of Washington from 1949 to 1981. Throughout his career, Mason has used a variety of mediums from oil to acrylic. After becoming sensitive to the toxicity of his materials, he then moved to watercolor and oil stick. 

Although the imagery and media used by Mason have gone through many changes over the years, his paintings always exhibit exuberance and inventiveness in form, color, and style. Mason draws inspiration from Arshile Gorky, Willem de Kooning, Joan Miro, Pablo Picasso, and the many different cultures he has encountered while traveling.","http://data.racc.org/pa_inventory/0637/0637thumb.jpg","http://racc.org/public-art/search/?recid=779.144","2012-02-28 00:00:00"

"780","Anne Griffith Johnson","Untitled","1983","Acrylic on canvas","painting","","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Multnomah County Justice Center","1120 SW 3rd Ave.","Portland","OR","97204","45.515248999999997","-122.677138","","http://data.racc.org/pa_inventory/0638/0638thumb.jpg","http://racc.org/public-art/search/?recid=780.148","2011-03-02 00:00:00"

"781","Tim O'Neill","Glass Lamps","1983","Glass and stainless steel","sculpture","","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Multnomah County Justice Center","1120 SW 3rd Ave.","Portland","OR","97204","45.515248999999997","-122.677138","These lamps were custom designed for the stairwell by artist Tim O'Neill, who is an expert metal fabricator and designer.","http://data.racc.org/pa_inventory/0639/0639thumb.jpg","http://racc.org/public-art/search/?recid=781.169","2011-08-25 00:00:00"

"782","Unknown","Eagle","19th century","Cedar","sculpture","","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Multnomah County Justice Center","1120 SW 3rd Ave.","Portland","OR","97204","45.515248999999997","-122.677138","This piece was made by the Kwakwa?ka??wakw people of British Columbia.","http://data.racc.org/pa_inventory/0640/0640thumb.jpg","http://racc.org/public-art/search/?recid=782.165","2011-02-15 00:00:00"

"783","Liz Mapelli","Untitled (arcade ceiling)","1983","Glass tile","ceramics","variable","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Multnomah County Justice Center","1120 SW 3rd Ave.","Portland","OR","97204","45.515248999999997","-122.677138","In this piece, artist Liz Mapelli responded to the need for artwork that would emphasize Portland's history, the beauty of its natural setting, and the Justice Center's community role with this harmonious design of rose-and-gray Venetian glass tiles set around her own richly colored glass pieces. Working from her studio, a renovated dairy barn, she fused the glass using a rare, time-consuming process that may have been developed in ancient Egypt.","http://data.racc.org/pa_inventory/0642/0642thumb.jpg","http://racc.org/public-art/search/?recid=783.161","2012-02-28 00:00:00"

"785","Wayne M. Reynolds","Martin Luther King","1984","Oil on canvas","painting","5' x 4'","Gift/Donation from Neighborhood Alliance","NE Neighborhoods","4815 NE 7th Ave","Portland","OR","97211","45.557389099999988","-122.65883580000001","","http://data.racc.org/pa_inventory/0647/0647thumb.jpg","http://racc.org/public-art/search/?recid=785.144","2011-02-09 00:00:00"

"786","Louis Bunce","Quiet Sea and Rocks","1981","Acrylic on canvas","painting","45 "" x 69 ""","Percent for Art - Multnomah County, State of Oregon, and U.S. Department of Transportation","Multnomah County Justice Center","1120 SW 3rd Ave.","Portland","OR","97204","45.515248999999997","-122.677138","","http://data.racc.org/pa_inventory/0649/0649thumb.jpg","http://racc.org/public-art/search/?recid=786.146","2011-02-15 00:00:00"

"787","Lee Kelly, Bonnie Bronson","Leland #1","1975","Cor-ten steel and enamel over mild steel","sculpture","east : 115 "" x 96 "" x 56 "", middle: 90 "" x 67 "" x 132 "", west: 20' x 55 "" x 56 ""","Portland Development Commission","Portland Center Park","2309 SW 1st Ave.","Portland","OR","97201","45.507933899999998","-122.6787479","""Leland #1"" was created collaboratively by Lee Kelly and his late wife, Bonnie Bronson. It has long been considered a seminal piece in the City of Portland's public art collection, and in 2010 was saved from potential deaccession by a careful restoration addressing problems with its structural stability. 

Lee Kelly is a prolific sculptor whose influential work can be found throughout Portland and the Pacific Northwest. Born in Idaho, he attended the Portland Art Museum School in the fifties and has worked and taught in the Portland region for decades. Kelly describes his sculptural process as putting the energy of Abstract Expression into three dimensional form. 

Kelly's wife, Bonnie Bronson, was a well-known Northwest artist before her tragic death in a climbing accident in 1990. She was known for her geometric two dimensional steel and enameled collages she referred to as ""modulars."" The beautiful red-orange tiles in this piece provide an excellent example of her mastery of enamel created through an industrial process that she herself developed in 1973.","http://data.racc.org/pa_inventory/0650/0650thumb.jpg","http://racc.org/public-art/search/?recid=787.201","2012-02-29 00:00:00"

"789","Steven Gillman","Peace Chant","1984","Granite","sculpture","","National Park Service, and the City of Portland Housing and Community Development fund","SW Park Ave. and SW Columbia St.","SW Park Ave. and SW Columbia St.","Portland","OR","97201","45.514945999999988","-122.683125","Steve Gillman's ""Peace Chant"" is the first known peace memorial in Oregon. Gillman designed the sculpture to create a space where people could sit and have quiet time. In his work, he uses the nature of the stone to create a feeling of space and time, juxtaposing natural, manmade, and architectural elements to remind of us of man's place in nature. The following poem was chosen by Gillman to be displayed alongside the finished work.     

Let us be ""Called...by the hopes of children 
to a world of endless wheat and barley sugar...
whatever--the skies now lifted
and the poppies bloomed
and the men and women fed the children 
and the long long lives of elders
kept the history green.""

 1983, Educators for Social Responsibility","http://data.racc.org/pa_inventory/0657/0657thumb.jpg","http://racc.org/public-art/search/?recid=789.184","2012-02-28 00:00:00"

"790","Paul Sutinen","In the Shadow of the Elm","1984","Granite","sculpture","45' x 40'","Percent for Art - City of Portland","SW Park Ave. and SW Market St.","SW Park Ave. and SW Market St.","Portland","OR","97201","45.513751399999997","-122.684352","The work depicts the shadow of an Elm tree that used to stand at the site. It is made of 169 individually cut pieces of ""Sierra White"" granite.","http://data.racc.org/pa_inventory/0658/0658thumb.jpg","http://racc.org/public-art/search/?recid=790.171","2012-02-28 00:00:00"

"791","Oliver Barrett","Rebecca at the Well (Shemanski Fountain)","1926","Bronze and cast stone","sculpture","sculpture: 3' 6 "" x 18 "" x 14 "", fountain: 12' (h) x 18' 8 "" (diam)","Gift/Donation from Joseph Shemanski","SW Park Ave. and SW Main St.","SW Park Ave. and SW Main St.","Portland","OR","97205","45.517077699999987","-122.68254949999999","Rebecca at the well resides in the South Park Block between Salmon and Main.  RACC maintains the bronze statue, but many consider the cast fountain structure, designed by architect Carl Linde, as part of the entire art piece.","http://data.racc.org/pa_inventory/0661/0661thumb.jpg","http://racc.org/public-art/search/?recid=791.181","2012-02-28 00:00:00"

"792","John Killmaster","Untitled","1977","Steel and porcelain enamel","sculpture","5' 5 "" x 4' 5 "" x 5' 5 ""","Tri-Met, U.S. Department of Transportation","SW 5th Ave. and SW Pine St.","SW 5th Ave. and SW Pine St.","Portland","OR","97204","45.522132999999997","-122.67579259999999","John Killmaster is an internationally recognized artist known for his sculptures, paintings, and enamel work. This sculpture features Killmaster's mastery of enamel with large panels that display brightly colored abstract designs. His work has been exhibited at venues across the United States including the Smithsonian Institute, The Denver Art Museum, and the San Francisco Museum of art as well as internationally in Russia, Japan, Australia, Spain, Israel, Italy and Germany. He currently resides in Boise, Idaho, where he taught as a professor of art emeritus at Boise State University for 27 years before retirement.","http://data.racc.org/pa_inventory/0663/0663thumb.jpg","http://racc.org/public-art/search/?recid=792.203","2011-08-31 00:00:00"

"793","Donald Wilson","Interlocking Forms","1977","Indiana limestone","sculpture","width: 18', weight: 17 tons","Tri-Met, U.S. Department of Transportation","SW 5th Ave. and SW Washington St.","SW 5th Ave. and SW Washington St.","Portland","OR","97204","45.520124500000001","-122.6768235","Artist Don Wilson intended this sculpture as ""just a human kind of presence in its relation to human beings in the environment."" Originally installed in 1977, Interlocking Forms was one of eleven sculptures that were added the downtown transit mall to make it more people oriented and attractive. In 2008 the piece was moved to its current location as part of the Portland Mall Revitalization Project and continues to engage passersby in its bustling downtown environment.","http://data.racc.org/pa_inventory/0664/0664thumb.jpg","http://racc.org/public-art/search/?recid=793.194","2011-09-22 00:00:00"

"796","John Beaver","Second Oregon Company Volunteers","1914","Bronze and limestone","sculpture","89 "" x 63 "" x 31 ""","Mothers, Sisters, Wives of Men Killed in Service in the Philippines","Lownsdale Square","Lownsdale Square","Portland","OR","97204","45.5160628","-122.6773819","This sculpture is a memorial monument honoring the Second Oregon Volunteer Infantry, called into action by President William McKinley to provide a regiment of volunteer troops to serve in the Spanish American War. They were the first troops to enter Guam and the first to land in the Philippines to raise the American flag in Manila. They fought in 42 battles and marched 500 miles in three months from May 1898- Aug. 1899.  The monument was dedicated by the soldier's ""wives, mothers, and daughters"".","http://data.racc.org/pa_inventory/0668/0668thumb.jpg","http://racc.org/public-art/search/?recid=796.171","2012-02-28 00:00:00"

"797","Douglas Tilden","Spanish American War Soldier's Monument","1906","Cast bronze","sculpture","height: 35', diameter: 35'","Gift/Donation from Citizens of Oregon","Lownsdale Square","Lownsdale Square","Portland","OR","97204","45.5160628","-122.6773819","This sculpture is a memorial monument honoring the Second Oregon Volunteer Infantry, called into action by President William McKinley to provide a regiment of volunteer troops to serve in the Spanish American War. They were the first troops to enter Guam and the first to land in the Philippines to raise the American flag in Manila. They fought in 42 battles and marched 500 miles in three months from August 13th, 1898 to March 12th, 1899.  The memorial was created by world class sculptor Doug Tilden, who was one of the first students at the California School for the Deaf. He studied sculpture in Paris under Paul Chopin. Many of his sculptures sit in the San Francisco and Berkeley area of California, where he lived. He is one of the most prolific California sculptors.","http://data.racc.org/pa_inventory/0669/0669thumb.jpg","http://racc.org/public-art/search/?recid=797.183","2012-02-16 00:00:00"

"801","Lee Kelly","Untitled fountain","1977","Stainless steel","fountain","30' x 12' x 12'","Tri-Met, Department of Transportation","SW 6th Ave. and SW Pine St.","SW 6th Ave. and SW Pine St.","Portland","OR","97209","45.5224209","-122.67681039999999","Lee Kelly's fountain focuses on the integration of movement between water and sculpture. The sculpture's reflective surfaces were designed to create fascinating visual effects in all weather conditions. Lee Kelly is one of Oregon's best known sculptors. His work can be found in parks, schools, and businesses throughout the state.","http://data.racc.org/pa_inventory/0675/0675thumb.jpg","http://racc.org/public-art/search/?recid=801.191","2011-08-25 00:00:00"

"803","Bruce West","Untitled","1977","Stainless steel","sculpture","height: 7'","Tri-Met, U.S. Department of Transportation","SW 6th Ave and SW Washington St.","SW 6th Ave and SW Washington St.","Portland","OR","97204","45.520432","-122.6778814","Bruce West's untitled sculpture is one of eleven sculptures chosen in 1977 for installation on the Portland Transit Mall. Initiated by former Trimet Chair, Bill Roberts, the goal of the Portland Transit Mall Art Project was to make the mall more people oriented and attractive. West has been creating his highly original metal sculptures for nearly four decades. He served as Head of the Sculpture Department at Lewis & Clark College from 1997-2005  and is well respected in the Portland sculpture community.","http://data.racc.org/pa_inventory/0678/0678thumb.jpg","http://racc.org/public-art/search/?recid=803.189","2011-08-25 00:00:00"

"804","Kathleen McCullough","Cat in Repose","1977","Indiana limestone","sculpture","3' x 4' 5 ""","Tri-Met, U.S. Department of Transportation","SW 5th Ave. and SW Morrison St.","SW 5th Ave. and SW Morrison St.","Portland","OR","97204","45.518805399999998","-122.6775765","The Cat in Repose is one of the most celebrated sculptures along the Portland Transit Mall and is especially dear to children. Kathleen McCullough's work can also be found in the permanent collection of the Chicago's Lincoln Park Zoo.","http://data.racc.org/pa_inventory/0680/0680thumb.jpg","http://racc.org/public-art/search/?recid=804.198","2011-09-01 00:00:00"

